mos2		| vdd-A-vac		| 1.66 	| 0.15 		| 3.193 	| 1.1 	| 6.6 	| 1
mos2		| vdd-B-vac 	| 1.66 	| -0.15		| 3.193 	| 1.1 	| 6.6 	| 1
mos2		| vdd-A-sio2 	| 1.66 	| 0.15 		| 3.193 	| 1.1 	| 6.6 	| 2.4
mos2 		| vdd-B-sio2 	| 1.66 	| -0.15 	| 3.193 	| 1.1 	| 6.6 	| 2.4
mos2		| vdd-A-blg 	| 1.66 	| 0.15 		| 3.193 	| 1.1 	| 6.6 	| 2.79
mos2 		| vdd-B-blg 	| 1.66 	| -0.15 	| 3.193 	| 1.1 	| 6.6 	| 2.79
mose2		| vdd-A-vac		| 1.47 	| 0.18		| 3.313 	| 0.94 	| 8.23 	| 1
mose2		| vdd-B-vac 	| 1.47 	| -0.18		| 3.313 	| 0.94 	| 8.23 	| 1
mose2		| vdd-A-sio2 	| 1.47 	| 0.18		| 3.313 	| 0.94 	| 8.23 	| 2.4
mose2 	| vdd-B-sio2 	| 1.47 	| -0.18 	| 3.313 	| 0.94 	| 8.23 	| 2.4
mose2		| vdd-A-blg 	| 1.47 	| 0.18		| 3.313 	| 0.94 	| 8.23 	| 2.79
mose2 	| vdd-B-blg 	| 1.47 	| -0.18 	| 3.313 	| 0.94 	| 8.23 	| 2.79
ws2			| vdd-A-vac		| 1.79 	| 0.43		| 3.197 	| 1.37 	| 6.03 	| 1
ws2			| vdd-B-vac 	| 1.79 	| -0.43		| 3.197 	| 1.37 	| 6.03 	| 1
ws2			| vdd-A-sio2 	| 1.79 	| 0.43		| 3.197 	| 1.37 	| 6.03 	| 2.4
ws2 		| vdd-B-sio2 	| 1.79 	| -0.43 	| 3.197 	| 1.37 	| 6.03 	| 2.4
ws2			| vdd-A-blg 	| 1.79 	| 0.43		| 3.197 	| 1.37 	| 6.03 	| 2.79
ws2 		| vdd-B-blg 	| 1.79 	| -0.43 	| 3.197 	| 1.37 	| 6.03 	| 2.79
wse2		| vdd-A-vac		| 1.60 	| 0.46		| 3.310 	| 1.19	| 7.18	| 1
wse2		| vdd-B-vac 	| 1.60 	| -0.46		| 3.310 	| 1.19	| 7.18	| 1
wse2		| vdd-A-sio2 	| 1.60 	| 0.46		| 3.310 	| 1.19	| 7.18	| 2.4
wse2 		| vdd-B-sio2 	| 1.60 	| -0.46 	| 3.310 	| 1.19	| 7.18	| 2.4
wse2		| vdd-A-blg 	| 1.60 	| 0.46		| 3.310 	| 1.19	| 7.18	| 2.79
wse2 		| vdd-B-blg 	| 1.60 	| -0.46 	| 3.310 	| 1.19	| 7.18	| 2.79
